OBJECTID,TYPE,MATERIAL,WIDTH,LIMITS,TYPE2,NAME,ENTITY_TRA,TYPE_3,PAVED,MILEAGE,Shape__Length
31,Designated,Asphalt,0, ,Asphalt Trail,Race Street Connector Trail,PPR?,Trail,Y,0.05955872,125.366030891552
32,Designated,Asphalt,0, ,Asphalt Trail,Schuylkill River Trail,PPR,Trail,Y,0.76699409,1613.81890665134
33,Designated,Asphalt,0, ,Asphalt Trail,Shawmont to Port Royal SRT,PPR,Trail,Y,0.29792724,626.622124357404
34,Designated,Asphalt,, ,Asphalt Trail,Sugar House Casino Trail,Sugar House,Trail,Yes,0.3668983,771.001598665622
35,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.39358013,827.875137475258
36,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,3.224e-05,0.0676772479564283
37,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.1539501,323.329104889101
38,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.00588774,12.3745051529084
39,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.41691819,875.964870224416
40,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.28343669,596.49263401654
41,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.00642789,13.5020277184736
42,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.01231033,25.909481693952
43,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.14738494,309.811819988813
44,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.01006324,21.1479891752072
45,Designated,Asphalt,0, ,Asphalt Trail,Tacony Creek Trail,PPR,Trail,Y,0.02695621,56.5950931358574
46,Designated,Asphalt,0, ,Asphalt Trail,W Fairmount Park Trolley Trail,PPR,Trail,Y,0.25155376,527.899694658804
